,rep_1,rep_2,rep_3,rep_4,rep_5,rep_6,rep_7,rep_8,rep_9,rep_10,mean_importance,std_importance
EI-2nd,21.75702643993963,24.192132571876595,25.697031258391302,23.62150985205762,26.784392910082637,25.952091877889934,25.841358315954515,28.11023721236682,25.81444694605866,27.053881558408307,25.482410894302603,1.7487756249682826
δEI-3rd,26.049870865023575,23.45822575663729,24.7404249788216,22.997518903965094,23.447137144485083,24.98509076492087,26.666324306011735,25.950871415990083,26.321581610660935,25.2159414009395,24.98329871474558,1.242554794412921
δEa,24.917841035979365,22.699017730391517,22.97104320435961,24.181721872856308,23.9504525370675,21.705133289924923,23.338419842346006,23.87673203774804,22.2237783357032,23.615809689306236,23.34799495756827,0.9165136804832533
Ev,20.537497132554073,20.536037598305636,23.18373335336908,21.711776554590426,20.182838092875905,23.333306782937154,22.736302396441328,24.865846667216573,23.64641952350389,23.512029265657986,22.4245787367452,1.5098231479539124
Rc,23.026593692154318,20.414458044483172,20.40405132128027,20.671769643121245,20.897146589022412,22.378966180136825,21.86616518726734,21.415163606250747,19.62982263832415,21.16632486833479,21.18704617703753,0.9645075485514145
δHc,19.605977190246495,18.94236850793201,19.976218455335555,21.639090562847827,19.19196954272949,21.914456492736555,21.421507211813697,19.2888895646209,21.528238183037324,18.57650064810212,20.208521635940194,1.2137746533891676
δχA,17.562590691009326,19.091774911217108,21.73737934554685,19.441308549159373,20.29467881880302,21.226739631630966,18.726773010747593,21.222410184352782,18.311509151885737,18.02759679944186,19.564276109379456,1.401656237285815
δVEC,17.299444751930253,18.31674616521031,17.698187028675783,19.820086724518283,19.477335147421872,19.429183414199933,18.234001026371153,18.208340939584126,19.709011114848856,17.428219908015784,18.562055622077636,0.916883066757049
δDCE,18.456542048792045,18.45605515315425,17.995780583341922,18.45222587104434,17.240677815292667,20.68275918036531,20.250435938698104,18.44614832098688,18.830833408810065,16.625714054161307,18.54371723746469,1.1524270864762507
EI-3rd,12.517865750302485,11.64101684981369,17.35819771887058,14.126791202184563,13.712836669464412,15.895004069997787,14.738097694728419,16.269552307248013,14.050488231455699,14.961608175965058,14.527145867003071,1.6301123318837003
δEc,15.914199471198117,13.64154361997161,13.532158707649296,13.48107938804588,14.84457094672618,12.01836787045092,12.938778007861634,12.937681132059748,12.591938994853347,14.913393488229996,13.681371162704673,1.1391823489655386
δEN,13.432319121123914,12.354168014064635,14.160633826678373,13.905652236795959,12.053550562379524,12.345107878283306,12.242567396827122,14.484639040456097,13.430736081397589,10.410679530329702,12.882005368833621,1.167247609750176
C,13.949423403893144,11.199636283397023,12.441355655392385,13.65136991333128,12.216533020698813,9.591121415541414,10.0670536472474,8.377359014251885,13.34578284552872,12.210021525548944,11.7049656724831,1.7622948378191734
AN,10.545138788060735,12.502100298834268,11.457977788057713,10.803364565213064,11.621160447339474,12.705489973006706,10.220183657792045,11.612804441151633,11.413601159166598,10.553890062596201,11.343571118121845,0.7860954904798477
δHf,8.4517940638774,8.741652124114967,8.375972491857766,8.825015115924241,8.228413925629264,9.978341986858869,8.401565006194858,8.96987607516453,8.78353378756238,8.015888681675728,8.677205325886002,0.5169334687981448
χAbs,4.937870067832068,4.747252932498839,4.135107916760416,5.902650509337212,4.381199507049968,3.7179575737417965,3.903951918443852,5.132613509912841,4.657275789340656,4.291353367905634,4.5807233092823285,0.6113691633631467
Tm,5.586962538409028,4.267058004158008,4.729605492034932,4.469521203555615,3.7978692763488255,3.444376692536929,4.260791162320794,4.107932025904364,4.200273952025663,4.023196648690726,4.288758699598488,0.5457665917521054
δR,4.220807763292845,4.464586572258514,3.93558008086618,3.8106278747085356,3.9725575589351534,4.874711542373769,3.967821803853036,4.31331823716165,3.83654702369567,3.947627196517118,4.134418565366247,0.31913349590836904
δEv,2.824247590097491,2.8983290993483593,3.2167600087070354,3.624047111026846,3.1282471343106293,3.2697510810649875,3.6598553830547305,3.4763666558353634,2.9281092387572074,3.152260852863287,3.217797415506594,0.27985485115812775
δEI-1st,2.3374948393576234,2.42054658224198,1.343842866059589,2.497159822280986,2.409946382049776,1.9625767866494357,2.5158185659705397,2.1198585432887453,2.0068219102398985,2.902379089690754,2.2516445387829327,0.39993105470441614
δAN,1.663377277603456,2.2084485550836463,2.2690266535615478,2.0599131693452764,2.007598827216367,2.5078014987186292,2.135027624047319,1.2562521030362803,2.525752968196906,2.2689379134857632,2.0902136590295193,0.36460976748167356
m,1.3459735258466368,2.2411178602736586,1.5251996935309649,0.9658751865080148,1.925504733161398,1.4439830207325202,1.7481893158398578,1.1999434753410185,1.6163359711118517,2.164604684329208,1.6176727466675132,0.3887792309806699
e/a,1.426221739840355,1.5825950525211057,1.4451183541281807,1.9083844853371148,1.6455983547876314,1.6823394271669883,1.4959430553404445,1.4678540828834117,1.1911824403153617,1.5992646797956922,1.5444501672116284,0.17972618392087314
δm,0.058568248892709104,0.15743313082802501,0.20400028778110482,0.1665962594104542,0.0804682859398838,0.046353843127218394,0.06615227501015966,-0.03032680743658034,0.1292532728372123,0.23246434009626,0.1110963136486447,0.0766992131448702
δVm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN,-0.009334966239424602,0.009855637364250925,-0.017638452334892918,-0.023172880126395512,-0.014733090474823029,-0.06146321829633052,-0.000986045625245424,-0.010020172836402708,0.02047014776022138,-0.0009406111065345613,-0.010796365191557699,0.020935225218950467
